PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE,,
CA-S-15126,LOST SPIRITS DISTILLERY LLC,Active,LOS ANGELES,1235 E 6TH ST ,CA,90021,0,LOS ANGELES,22-Dec-11,22-Dec-11,,
CA-S-15127,MATTHEW DILLINGHAM,Active,SAN LEANDRO,1941 DAVIS ST ,CA,94577,1262,ALAMEDA,22-Nov-11,22-Nov-11,,
CA-S-15128,"Q4X, INC.",Active,PASO ROBLES,7300 N RIVER RD ,CA,93446,7101,San Luis Obispo,3-Nov-11,3-Nov-11,,
CA-S-15129,STEPHEN P. AUTRY,Active,SAN LUIS OBISPO,5450 EDNA RD ,CA,93401,7998,SAN LUIS OBISPO,8-Dec-11,8-Dec-11,,
CA-S-15130,"PASO ROBLES WINE SERVICES, LLC",Active,PASO ROBLES,6305  BUENA VISTA  DR ,CA,93446,8565,SAN LUIS OBISPO,23-Apr-12,23-Apr-12,,
CA-S-15131,BOWEN'S SPIRITS INC.,Active,BAKERSFIELD,1901 MINERAL CT ,CA,93308,6819,KERN,20-Jan-12,20-Jan-12,,
CA-S-15134,ARLA JEAN RAMSEY,Active,BLUE LAKE,725-6 1/2 RANCHERIA RD ,CA,95525,0,HUMBOLDT,9-Oct-12,9-Oct-12,,
CA-S-15135,"HALL WINES, LLC",Active,SAINT HELENA,401  ST. HELENA  HWY S,CA,94574,2200,NAPA,22-Oct-12,22-Oct-12,,
CA-S-15136,"OPOLO WINES, LP, OPOLO MANAGEMENT LLC, GP",Active,PASO ROBLES,7110 VINEYARD DR ,CA,93446,7684,SAN LUIS OBISPO,1-Oct-12,1-Oct-12,,
CA-S-15137,"BRUTOCAO CELLARS, BRUTOCAO FAMILY ENTERPRISES, LLC, GP, BRUTOCAO MANAGEMENT, LLC, GP",Active,HOPLAND,1400 HIGHWAY 175 ,CA,95449,9754,MENDOCINO,28-Mar-13,28-Mar-13,,
CA-S-15138,"FERRARI-CARANO VINEYARDS AND WINERY, LLC",Active,PHILO,4741 HIGHWAY 128 ,CA,95466,0,MENDOCINO,22-Mar-13,22-Mar-13,,
CA-S-15139,"VA FILTRATION USA, LLC",Active,AMERICAN CANYON,110 DODD CT ,CA,94503,0,NAPA,24-Jun-13,24-Jun-13,,
CA-S-15140,JOHN J STRINGER,Active,NEW PINE CREEK,60090 HWY 395 ,CA,97635,0,MODOC,20-Feb-14,20-Feb-14,,
CA-S-15141,WEIBEL INCORPORATED,Active,LODI,1 WINEMASTER WAY ,CA,95240,860,SAN JOAQUIN,6-Sep-13,6-Sep-13,,
